ConcessionariaRodoviakm,Concessionaria,kmmt,Rodovia,Longitude,Latitude
Fernão Dias.MG-BR381.821.1,Fernão Dias,821.1,MG-BR381,-45.70191708,-22.07745399
Fernão Dias.MG-BR381.821.2,Fernão Dias,821.2,MG-BR381,-45.70200921,-22.07832251
Fernão Dias.MG-BR381.821.3,Fernão Dias,821.3,MG-BR381,-45.70210129,-22.07919049
Fernão Dias.MG-BR381.821.4,Fernão Dias,821.4,MG-BR381,-45.70219342,-22.08005901
Fernão Dias.MG-BR381.821.5,Fernão Dias,821.5,MG-BR381,-45.7022855,-22.080927
Fernão Dias.MG-BR381.821.6,Fernão Dias,821.6,MG-BR381,-45.70237758,-22.08179499
Fernão Dias.MG-BR381.821.7,Fernão Dias,821.7,MG-BR381,-45.70246971,-22.08266351
Fernão Dias.MG-BR381.821.8,Fernão Dias,821.8,MG-BR381,-45.70256179,-22.08353149
Fernão Dias.MG-BR381.821.9,Fernão Dias,821.9,MG-BR381,-45.70265392,-22.08440001
Fernão Dias.MG-BR381.822.0,Fernão Dias,822,MG-BR381,-45.70269996,-22.08483401
Fernão Dias.MG-BR381.822.1,Fernão Dias,822.1,MG-BR381,-45.70335775,-22.08592524
Fernão Dias.MG-BR381.822.2,Fernão Dias,822.2,MG-BR381,-45.70396987,-22.08658288
Fernão Dias.MG-BR381.822.3,Fernão Dias,822.3,MG-BR381,-45.70458163,-22.08724012
Fernão Dias.MG-BR381.822.4,Fernão Dias,822.4,MG-BR381,-45.70519357,-22.08789756
Fernão Dias.MG-BR381.822.5,Fernão Dias,822.5,MG-BR381,-45.7058055,-22.088555
Fernão Dias.MG-BR381.822.6,Fernão Dias,822.6,MG-BR381,-45.70641725,-22.08921224
Fernão Dias.MG-BR381.822.7,Fernão Dias,822.7,MG-BR381,-45.70702919,-22.08986968
Fernão Dias.MG-BR381.822.8,Fernão Dias,822.8,MG-BR381,-45.70764113,-22.09052712
Fernão Dias.MG-BR381.822.9,Fernão Dias,822.9,MG-BR381,-45.70825325,-22.09118476
Fernão Dias.MG-BR381.823.0,Fernão Dias,823,MG-BR381,-45.70869358,-22.09165783
Fernão Dias.MG-BR381.823.1,Fernão Dias,823.1,MG-BR381,-45.70960402,-22.09234928
Fernão Dias.MG-BR381.823.2,Fernão Dias,823.2,MG-BR381,-45.71034349,-22.09285686
Fernão Dias.MG-BR381.823.3,Fernão Dias,823.3,MG-BR381,-45.71108251,-22.09336414
Fernão Dias.MG-BR381.823.4,Fernão Dias,823.4,MG-BR381,-45.71182198,-22.09387172
Fernão Dias.MG-BR381.823.5,Fernão Dias,823.5,MG-BR381,-45.712561,-22.094379
Fernão Dias.MG-BR381.823.6,Fernão Dias,823.6,MG-BR381,-45.71330002,-22.09488628
Fernão Dias.MG-BR381.823.7,Fernão Dias,823.7,MG-BR381,-45.71403949,-22.09539386
Fernão Dias.MG-BR381.823.8,Fernão Dias,823.8,MG-BR381,-45.71477851,-22.09590114
Fernão Dias.MG-BR381.823.9,Fernão Dias,823.9,MG-BR381,-45.71551798,-22.09640872
Fernão Dias.MG-BR381.824.0,Fernão Dias,824,MG-BR381,-45.716257,-22.096916
Fernão Dias.MG-BR381.824.1,Fernão Dias,824.1,MG-BR381,-45.71697243,-22.09744837
Fernão Dias.MG-BR381.824.2,Fernão Dias,824.2,MG-BR381,-45.71768829,-22.09798107
Fernão Dias.MG-BR381.824.3,Fernão Dias,824.3,MG-BR381,-45.71840371,-22.09851343
Fernão Dias.MG-BR381.824.4,Fernão Dias,824.4,MG-BR381,-45.71911957,-22.09904613
Fernão Dias.MG-BR381.824.5,Fernão Dias,824.5,MG-BR381,-45.719835,-22.0995785
Fernão Dias.MG-BR381.824.6,Fernão Dias,824.6,MG-BR381,-45.72055043,-22.10011087
Fernão Dias.MG-BR381.824.7,Fernão Dias,824.7,MG-BR381,-45.72126629,-22.10064357
Fernão Dias.MG-BR381.824.8,Fernão Dias,824.8,MG-BR381,-45.72198171,-22.10117593
Fernão Dias.MG-BR381.824.9,Fernão Dias,824.9,MG-BR381,-45.72269757,-22.10170863
Fernão Dias.MG-BR381.825.0,Fernão Dias,825,MG-BR381,-45.72305529,-22.10197482
Fernão Dias.MG-BR381.825.1,Fernão Dias,825.1,MG-BR381,-45.7242449,-22.10256822
Fernão Dias.MG-BR381.825.2,Fernão Dias,825.2,MG-BR381,-45.7250773,-22.10289564
Fernão Dias.MG-BR381.825.3,Fernão Dias,825.3,MG-BR381,-45.7259092,-22.10322286
Fernão Dias.MG-BR381.825.4,Fernão Dias,825.4,MG-BR381,-45.7267416,-22.10355028
Fernão Dias.MG-BR381.825.5,Fernão Dias,825.5,MG-BR381,-45.7275735,-22.1038775
Fernão Dias.MG-BR381.825.6,Fernão Dias,825.6,MG-BR381,-45.7284054,-22.10420472
Fernão Dias.MG-BR381.825.7,Fernão Dias,825.7,MG-BR381,-45.7288635,-22.10438491
Fernão Dias.MG-BR381.825.8,Fernão Dias,825.8,MG-BR381,-45.7300697,-22.10485936
Fernão Dias.MG-BR381.825.9,Fernão Dias,825.9,MG-BR381,-45.7309021,-22.10518678
Fernão Dias.MG-BR381.826.0,Fernão Dias,826,MG-BR381,-45.731734,-22.105514
Fernão Dias.MG-BR381.826.1,Fernão Dias,826.1,MG-BR381,-45.73259899,-22.10578603
Fernão Dias.MG-BR381.826.2,Fernão Dias,826.2,MG-BR381,-45.73346451,-22.10605823
Fernão Dias.MG-BR381.826.3,Fernão Dias,826.3,MG-BR381,-45.73432949,-22.10633027
Fernão Dias.MG-BR381.826.4,Fernão Dias,826.4,MG-BR381,-45.73519501,-22.10660247
Fernão Dias.MG-BR381.826.5,Fernão Dias,826.5,MG-BR381,-45.73606,-22.1068745
Fernão Dias.MG-BR381.826.6,Fernão Dias,826.6,MG-BR381,-45.73692499,-22.10714653
Fernão Dias.MG-BR381.826.7,Fernão Dias,826.7,MG-BR381,-45.73775143,-22.10740644
Fernão Dias.MG-BR381.826.8,Fernão Dias,826.8,MG-BR381,-45.73857787,-22.10766635
Fernão Dias.MG-BR381.826.9,Fernão Dias,826.9,MG-BR381,-45.73952101,-22.10796297
Fernão Dias.MG-BR381.827.0,Fernão Dias,827,MG-BR381,-45.740386,-22.108235
Fernão Dias.MG-BR381.827.1,Fernão Dias,827.1,MG-BR381,-45.74113222,-22.10868029
Fernão Dias.MG-BR381.827.2,Fernão Dias,827.2,MG-BR381,-45.74150578,-22.10890321
Fernão Dias.MG-BR381.827.3,Fernão Dias,827.3,MG-BR381,-45.74243878,-22.10945996
Fernão Dias.MG-BR381.827.4,Fernão Dias,827.4,MG-BR381,-45.74337178,-22.11001671
Fernão Dias.MG-BR381.827.5,Fernão Dias,827.5,MG-BR381,-45.744118,-22.110462
Fernão Dias.MG-BR381.827.6,Fernão Dias,827.6,MG-BR381,-45.74486422,-22.11090729
Fernão Dias.MG-BR381.827.7,Fernão Dias,827.7,MG-BR381,-45.74561089,-22.11135285
Fernão Dias.MG-BR381.827.8,Fernão Dias,827.8,MG-BR381,-45.74635711,-22.11179815
Fernão Dias.MG-BR381.827.9,Fernão Dias,827.9,MG-BR381,-45.74710378,-22.11224371
Fernão Dias.MG-BR381.828.0,Fernão Dias,828,MG-BR381,-45.74785,-22.112689
Fernão Dias.MG-BR381.828.1,Fernão Dias,828.1,MG-BR381,-45.74856892,-22.11318608
Fernão Dias.MG-BR381.828.2,Fernão Dias,828.2,MG-BR381,-45.74928829,-22.11368346
Fernão Dias.MG-BR381.828.3,Fernão Dias,828.3,MG-BR381,-45.75000721,-22.11418054
Fernão Dias.MG-BR381.828.4,Fernão Dias,828.4,MG-BR381,-45.75072658,-22.11467792
Fernão Dias.MG-BR381.828.5,Fernão Dias,828.5,MG-BR381,-45.7514455,-22.115175
Fernão Dias.MG-BR381.828.6,Fernão Dias,828.6,MG-BR381,-45.75216442,-22.11567208
Fernão Dias.MG-BR381.828.7,Fernão Dias,828.7,MG-BR381,-45.75263932,-22.11600043
Fernão Dias.MG-BR381.828.8,Fernão Dias,828.8,MG-BR381,-45.75360271,-22.11666654
Fernão Dias.MG-BR381.828.9,Fernão Dias,828.9,MG-BR381,-45.75432208,-22.11716392
Fernão Dias.MG-BR381.829.0,Fernão Dias,829,MG-BR381,-45.75468154,-22.11741246
Fernão Dias.MG-BR381.829.1,Fernão Dias,829.1,MG-BR381,-45.75590539,-22.11797292
Fernão Dias.MG-BR381.829.2,Fernão Dias,829.2,MG-BR381,-45.75677031,-22.11828504
Fernão Dias.MG-BR381.829.3,Fernão Dias,829.3,MG-BR381,-45.75763469,-22.11859696
Fernão Dias.MG-BR381.829.4,Fernão Dias,829.4,MG-BR381,-45.75849961,-22.11890908
Fernão Dias.MG-BR381.829.5,Fernão Dias,829.5,MG-BR381,-45.759364,-22.119221
Fernão Dias.MG-BR381.829.6,Fernão Dias,829.6,MG-BR381,-45.76022839,-22.11953292
Fernão Dias.MG-BR381.829.7,Fernão Dias,829.7,MG-BR381,-45.76109331,-22.11984504
Fernão Dias.MG-BR381.829.8,Fernão Dias,829.8,MG-BR381,-45.76195769,-22.12015696
Fernão Dias.MG-BR381.829.9,Fernão Dias,829.9,MG-BR381,-45.76282261,-22.12046908
Fernão Dias.MG-BR381.830.0,Fernão Dias,830,MG-BR381,-45.76325481,-22.12062504
Fernão Dias.MG-BR381.830.1,Fernão Dias,830.1,MG-BR381,-45.76458768,-22.12087368
Fernão Dias.MG-BR381.830.2,Fernão Dias,830.2,MG-BR381,-45.76548891,-22.12096641
Fernão Dias.MG-BR381.830.3,Fernão Dias,830.3,MG-BR381,-45.76638959,-22.12105909
Fernão Dias.MG-BR381.830.4,Fernão Dias,830.4,MG-BR381,-45.76729082,-22.12115182
Fernão Dias.MG-BR381.830.5,Fernão Dias,830.5,MG-BR381,-45.7681915,-22.1212445
Fernão Dias.MG-BR381.832.0,Fernão Dias,832,MG-BR381,-45.781607,-22.121273
Fernão Dias.MG-BR381.830.6,Fernão Dias,830.6,MG-BR381,-45.76880405,-22.12130753
Fernão Dias.MG-BR381.831.9,Fernão Dias,831.9,MG-BR381,-45.78071612,-22.12131649
Fernão Dias.MG-BR381.832.1,Fernão Dias,832.1,MG-BR381,-45.78249368,-22.12133668
Fernão Dias.MG-BR381.831.8,Fernão Dias,831.8,MG-BR381,-45.77982469,-22.12136001
Fernão Dias.MG-BR381.832.2,Fernão Dias,832.2,MG-BR381,-45.78338091,-22.12140041
Fernão Dias.MG-BR381.831.7,Fernão Dias,831.7,MG-BR381,-45.77893381,-22.12140349
Fernão Dias.MG-BR381.830.7,Fernão Dias,830.7,MG-BR381,-45.76999341,-22.12142991
Fernão Dias.MG-BR381.831.6,Fernão Dias,831.6,MG-BR381,-45.77804238,-22.12144701
Fernão Dias.MG-BR381.832.3,Fernão Dias,832.3,MG-BR381,-45.78426759,-22.12146409
Fernão Dias.MG-BR381.831.5,Fernão Dias,831.5,MG-BR381,-45.7771515,-22.1214905
Fernão Dias.MG-BR381.832.4,Fernão Dias,832.4,MG-BR381,-45.7848533,-22.12150616
Fernão Dias.MG-BR381.830.8,Fernão Dias,830.8,MG-BR381,-45.77089409,-22.12152259
Fernão Dias.MG-BR381.831.4,Fernão Dias,831.4,MG-BR381,-45.77626062,-22.12153399
Fernão Dias.MG-BR381.832.5,Fernão Dias,832.5,MG-BR381,-45.7860415,-22.1215915
Fernão Dias.MG-BR381.831.3,Fernão Dias,831.3,MG-BR381,-45.7750483,-22.12159317
Fernão Dias.MG-BR381.830.9,Fernão Dias,830.9,MG-BR381,-45.77179532,-22.12161532
Fernão Dias.MG-BR381.832.6,Fernão Dias,832.6,MG-BR381,-45.78648484,-22.12162334
Fernão Dias.MG-BR381.831.2,Fernão Dias,831.2,MG-BR381,-45.77403287,-22.12164274
Fernão Dias.MG-BR381.831.0,Fernão Dias,831,MG-BR381,-45.77224566,-22.12166166
Fernão Dias.MG-BR381.831.1,Fernão Dias,831.1,MG-BR381,-45.77358688,-22.12166451
Fernão Dias.MG-BR381.832.7,Fernão Dias,832.7,MG-BR381,-45.78781541,-22.12171891
Fernão Dias.MG-BR381.832.8,Fernão Dias,832.8,MG-BR381,-45.78870209,-22.12178259
Fernão Dias.MG-BR381.832.9,Fernão Dias,832.9,MG-BR381,-45.78958932,-22.12184632
Fernão Dias.MG-BR381.833.0,Fernão Dias,833,MG-BR381,-45.79003266,-22.12187816
Fernão Dias.MG-BR381.833.1,Fernão Dias,833.1,MG-BR381,-45.7912859,-22.12228911
Fernão Dias.MG-BR381.833.2,Fernão Dias,833.2,MG-BR381,-45.7920963,-22.12266845
Fernão Dias.MG-BR381.833.3,Fernão Dias,833.3,MG-BR381,-45.7929062,-22.12304755
Fernão Dias.MG-BR381.833.4,Fernão Dias,833.4,MG-BR381,-45.79343279,-22.12329404
Fernão Dias.MG-BR381.833.5,Fernão Dias,833.5,MG-BR381,-45.7945265,-22.123806
Fernão Dias.MG-BR381.833.6,Fernão Dias,833.6,MG-BR381,-45.7953364,-22.12418511
Fernão Dias.MG-BR381.833.7,Fernão Dias,833.7,MG-BR381,-45.7961468,-22.12456445
Fernão Dias.MG-BR381.833.8,Fernão Dias,833.8,MG-BR381,-45.79664916,-22.12479959
Fernão Dias.MG-BR381.833.9,Fernão Dias,833.9,MG-BR381,-45.7977671,-22.12532289
Fernão Dias.MG-BR381.834.0,Fernão Dias,834,MG-BR381,-45.798577,-22.125702
Fernão Dias.MG-BR381.834.1,Fernão Dias,834.1,MG-BR381,-45.79916876,-22.12618067
Fernão Dias.MG-BR381.834.2,Fernão Dias,834.2,MG-BR381,-45.79995328,-22.12681527
Fernão Dias.MG-BR381.834.3,Fernão Dias,834.3,MG-BR381,-45.80034555,-22.12713257
Fernão Dias.MG-BR381.834.4,Fernão Dias,834.4,MG-BR381,-45.80132957,-22.12792854
Fernão Dias.MG-BR381.834.5,Fernão Dias,834.5,MG-BR381,-45.80195576,-22.12843506
Fernão Dias.MG-BR381.834.6,Fernão Dias,834.6,MG-BR381,-45.80270543,-22.12904146
Fernão Dias.MG-BR381.834.7,Fernão Dias,834.7,MG-BR381,-45.80339378,-22.12959827
Fernão Dias.MG-BR381.834.8,Fernão Dias,834.8,MG-BR381,-45.80408172,-22.13015473
Fernão Dias.MG-BR381.834.9,Fernão Dias,834.9,MG-BR381,-45.80477007,-22.13071154
Fernão Dias.MG-BR381.835.0,Fernão Dias,835,MG-BR381,-45.80511403,-22.13098977
Fernão Dias.MG-BR381.835.1,Fernão Dias,835.1,MG-BR381,-45.80609294,-22.13190155
Fernão Dias.MG-BR381.835.2,Fernão Dias,835.2,MG-BR381,-45.80672828,-22.13253548
Fernão Dias.MG-BR381.835.3,Fernão Dias,835.3,MG-BR381,-45.80736322,-22.13316902
Fernão Dias.MG-BR381.835.4,Fernão Dias,835.4,MG-BR381,-45.80799856,-22.13380295
Fernão Dias.MG-BR381.835.5,Fernão Dias,835.5,MG-BR381,-45.8086335,-22.1344365
Fernão Dias.MG-BR381.835.6,Fernão Dias,835.6,MG-BR381,-45.80926844,-22.13507005
Fernão Dias.MG-BR381.835.7,Fernão Dias,835.7,MG-BR381,-45.80990378,-22.13570398
Fernão Dias.MG-BR381.835.8,Fernão Dias,835.8,MG-BR381,-45.81053872,-22.13633752
Fernão Dias.MG-BR381.835.9,Fernão Dias,835.9,MG-BR381,-45.81117406,-22.13697145
Fernão Dias.MG-BR381.836.0,Fernão Dias,836,MG-BR381,-45.811809,-22.137605
Fernão Dias.MG-BR381.836.1,Fernão Dias,836.1,MG-BR381,-45.81243655,-22.13820265
Fernão Dias.MG-BR381.836.2,Fernão Dias,836.2,MG-BR381,-45.81306448,-22.13880067
Fernão Dias.MG-BR381.836.3,Fernão Dias,836.3,MG-BR381,-45.81369202,-22.13939833
Fernão Dias.MG-BR381.836.4,Fernão Dias,836.4,MG-BR381,-45.81431995,-22.13999635
Fernão Dias.MG-BR381.836.5,Fernão Dias,836.5,MG-BR381,-45.81482835,-22.14048053
Fernão Dias.MG-BR381.836.6,Fernão Dias,836.6,MG-BR381,-45.81557505,-22.14119165
Fernão Dias.MG-BR381.836.7,Fernão Dias,836.7,MG-BR381,-45.81620298,-22.14178967
Fernão Dias.MG-BR381.836.8,Fernão Dias,836.8,MG-BR381,-45.81683052,-22.14238733
Fernão Dias.MG-BR381.836.9,Fernão Dias,836.9,MG-BR381,-45.81745845,-22.14298535
Fernão Dias.MG-BR381.837.0,Fernão Dias,837,MG-BR381,-45.818086,-22.143583
Fernão Dias.MG-BR381.837.1,Fernão Dias,837.1,MG-BR381,-45.81860227,-22.14429783
Fernão Dias.MG-BR381.837.2,Fernão Dias,837.2,MG-BR381,-45.81911886,-22.14501309
Fernão Dias.MG-BR381.837.3,Fernão Dias,837.3,MG-BR381,-45.81963514,-22.14572791
Fernão Dias.MG-BR381.837.4,Fernão Dias,837.4,MG-BR381,-45.82015173,-22.14644317
Fernão Dias.MG-BR381.837.5,Fernão Dias,837.5,MG-BR381,-45.820668,-22.147158
Fernão Dias.MG-BR381.837.6,Fernão Dias,837.6,MG-BR381,-45.82118427,-22.14787283
Fernão Dias.MG-BR381.837.7,Fernão Dias,837.7,MG-BR381,-45.82148906,-22.14829483
Fernão Dias.MG-BR381.837.8,Fernão Dias,837.8,MG-BR381,-45.82221714,-22.14930291
Fernão Dias.MG-BR381.837.9,Fernão Dias,837.9,MG-BR381,-45.82273373,-22.15001817
Fernão Dias.MG-BR381.838.0,Fernão Dias,838,MG-BR381,-45.82299186,-22.15037559
Fernão Dias.MG-BR381.838.1,Fernão Dias,838.1,MG-BR381,-45.8236709,-22.15151291
Fernão Dias.MG-BR381.838.2,Fernão Dias,838.2,MG-BR381,-45.82409205,-22.1522933
Fernão Dias.MG-BR381.838.3,Fernão Dias,838.3,MG-BR381,-45.82451295,-22.1530732
Fernão Dias.MG-BR381.838.4,Fernão Dias,838.4,MG-BR381,-45.8249341,-22.15385359
Fernão Dias.MG-BR381.838.5,Fernão Dias,838.5,MG-BR381,-45.825355,-22.1546335
Fernão Dias.MG-BR381.838.6,Fernão Dias,838.6,MG-BR381,-45.8257759,-22.15541341
Fernão Dias.MG-BR381.838.7,Fernão Dias,838.7,MG-BR381,-45.82619705,-22.1561938
Fernão Dias.MG-BR381.838.8,Fernão Dias,838.8,MG-BR381,-45.82661795,-22.1569737
Fernão Dias.MG-BR381.838.9,Fernão Dias,838.9,MG-BR381,-45.8270391,-22.15775409
Fernão Dias.MG-BR381.839.0,Fernão Dias,839,MG-BR381,-45.82724955,-22.15814405
Fernão Dias.MG-BR381.839.1,Fernão Dias,839.1,MG-BR381,-45.82774635,-22.1588897
Fernão Dias.MG-BR381.839.2,Fernão Dias,839.2,MG-BR381,-45.82858247,-22.15992829
Fernão Dias.MG-BR381.839.3,Fernão Dias,839.3,MG-BR381,-45.82914353,-22.16062521
Fernão Dias.MG-BR381.839.4,Fernão Dias,839.4,MG-BR381,-45.82968233,-22.16129449
Fernão Dias.MG-BR381.839.5,Fernão Dias,839.5,MG-BR381,-45.830266,-22.1620195
Fernão Dias.MG-BR381.839.6,Fernão Dias,839.6,MG-BR381,-45.83082706,-22.16271643
Fernão Dias.MG-BR381.839.7,Fernão Dias,839.7,MG-BR381,-45.83138847,-22.16341379
Fernão Dias.MG-BR381.839.8,Fernão Dias,839.8,MG-BR381,-45.83194953,-22.16411071
Fernão Dias.MG-BR381.839.9,Fernão Dias,839.9,MG-BR381,-45.83251094,-22.16480807
Fernão Dias.MG-BR381.840.0,Fernão Dias,840,MG-BR381,-45.83279147,-22.16515654
Fernão Dias.MG-BR381.840.1,Fernão Dias,840.1,MG-BR381,-45.83361297,-22.16622023
Fernão Dias.MG-BR381.840.2,Fernão Dias,840.2,MG-BR381,-45.83415427,-22.16693589
Fernão Dias.MG-BR381.840.3,Fernão Dias,840.3,MG-BR381,-45.83469523,-22.16765111
Fernão Dias.MG-BR381.840.4,Fernão Dias,840.4,MG-BR381,-45.83523653,-22.16836677
Fernão Dias.MG-BR381.840.5,Fernão Dias,840.5,MG-BR381,-45.8357775,-22.169082
Fernão Dias.MG-BR381.840.6,Fernão Dias,840.6,MG-BR381,-45.83631847,-22.16979723
Fernão Dias.MG-BR381.840.7,Fernão Dias,840.7,MG-BR381,-45.8368596,-22.17051267
Fernão Dias.MG-BR381.840.8,Fernão Dias,840.8,MG-BR381,-45.83740073,-22.17122811
Fernão Dias.MG-BR381.840.9,Fernão Dias,840.9,MG-BR381,-45.83794203,-22.17194377
Fernão Dias.MG-BR381.841.0,Fernão Dias,841,MG-BR381,-45.838483,-22.172659
Fernão Dias.MG-BR381.841.1,Fernão Dias,841.1,MG-BR381,-45.83883891,-22.1734749
Fernão Dias.MG-BR381.841.2,Fernão Dias,841.2,MG-BR381,-45.8391166,-22.17411148
Fernão Dias.MG-BR381.841.3,Fernão Dias,841.3,MG-BR381,-45.83955096,-22.1751072
Fernão Dias.MG-BR381.841.4,Fernão Dias,841.4,MG-BR381,-45.83990709,-22.1759236
Fernão Dias.MG-BR381.841.5,Fernão Dias,841.5,MG-BR381,-45.840263,-22.1767395
Fernão Dias.MG-BR381.841.6,Fernão Dias,841.6,MG-BR381,-45.84061891,-22.1775554
Fernão Dias.MG-BR381.841.7,Fernão Dias,841.7,MG-BR381,-45.84097504,-22.1783718
Fernão Dias.MG-BR381.841.8,Fernão Dias,841.8,MG-BR381,-45.84133096,-22.1791877
Fernão Dias.MG-BR381.841.9,Fernão Dias,841.9,MG-BR381,-45.84168709,-22.1800041
Fernão Dias.MG-BR381.842.0,Fernão Dias,842,MG-BR381,-45.84186504,-22.18041205
Fernão Dias.MG-BR381.842.1,Fernão Dias,842.1,MG-BR381,-45.84239711,-22.1816473
Fernão Dias.MG-BR381.842.2,Fernão Dias,842.2,MG-BR381,-45.84275144,-22.1824751
Fernão Dias.MG-BR381.842.3,Fernão Dias,842.3,MG-BR381,-45.84310556,-22.1833024
Fernão Dias.MG-BR381.842.4,Fernão Dias,842.4,MG-BR381,-45.84345989,-22.1841302
Fernão Dias.MG-BR381.842.5,Fernão Dias,842.5,MG-BR381,-45.843814,-22.1849575
Fernão Dias.MG-BR381.842.6,Fernão Dias,842.6,MG-BR381,-45.84416811,-22.1857848
Fernão Dias.MG-BR381.842.7,Fernão Dias,842.7,MG-BR381,-45.84452244,-22.1866126
Fernão Dias.MG-BR381.842.8,Fernão Dias,842.8,MG-BR381,-45.8448411,-22.18735707
Fernão Dias.MG-BR381.842.9,Fernão Dias,842.9,MG-BR381,-45.84522721,-22.18825912
Fernão Dias.MG-BR381.843.0,Fernão Dias,843,MG-BR381,-45.84540794,-22.18868135
Fernão Dias.MG-BR381.843.1,Fernão Dias,843.1,MG-BR381,-45.84612157,-22.18981182
Fernão Dias.MG-BR381.843.2,Fernão Dias,843.2,MG-BR381,-45.84665847,-22.19052909
Fernão Dias.MG-BR381.843.3,Fernão Dias,843.3,MG-BR381,-45.84696966,-22.19094483
Fernão Dias.MG-BR381.843.4,Fernão Dias,843.4,MG-BR381,-45.84773193,-22.19196318
Fernão Dias.MG-BR381.843.5,Fernão Dias,843.5,MG-BR381,-45.8482685,-22.19268
Fernão Dias.MG-BR381.843.6,Fernão Dias,843.6,MG-BR381,-45.84880507,-22.19339682
Fernão Dias.MG-BR381.843.7,Fernão Dias,843.7,MG-BR381,-45.84934197,-22.19411409
Fernão Dias.MG-BR381.843.8,Fernão Dias,843.8,MG-BR381,-45.84987853,-22.19483091
Fernão Dias.MG-BR381.843.9,Fernão Dias,843.9,MG-BR381,-45.85041543,-22.19554818
Fernão Dias.MG-BR381.844.0,Fernão Dias,844,MG-BR381,-45.85068372,-22.19590659
Fernão Dias.MG-BR381.844.1,Fernão Dias,844.1,MG-BR381,-45.85164206,-22.19669254
Fernão Dias.MG-BR381.844.2,Fernão Dias,844.2,MG-BR381,-45.85248509,-22.19721486
Fernão Dias.MG-BR381.844.3,Fernão Dias,844.3,MG-BR381,-45.85288369,-22.19746182
Fernão Dias.MG-BR381.844.4,Fernão Dias,844.4,MG-BR381,-45.85401819,-22.19816472
Fernão Dias.MG-BR381.844.5,Fernão Dias,844.5,MG-BR381,-45.8547845,-22.1986395
Fernão Dias.MG-BR381.844.6,Fernão Dias,844.6,MG-BR381,-45.85551245,-22.19909052
Fernão Dias.MG-BR381.844.7,Fernão Dias,844.7,MG-BR381,-45.85631759,-22.19958936
Fernão Dias.MG-BR381.844.8,Fernão Dias,844.8,MG-BR381,-45.85708391,-22.20006414
Fernão Dias.MG-BR381.844.9,Fernão Dias,844.9,MG-BR381,-45.85785069,-22.20053922
Fernão Dias.MG-BR381.845.0,Fernão Dias,845,MG-BR381,-45.85823384,-22.20077661
Fernão Dias.MG-BR381.845.1,Fernão Dias,845.1,MG-BR381,-45.85919146,-22.20166024
Fernão Dias.MG-BR381.845.2,Fernão Dias,845.2,MG-BR381,-45.85976627,-22.20230688
Fernão Dias.MG-BR381.845.3,Fernão Dias,845.3,MG-BR381,-45.86034073,-22.20295312
Fernão Dias.MG-BR381.845.4,Fernão Dias,845.4,MG-BR381,-45.86091554,-22.20359976
Fernão Dias.MG-BR381.845.5,Fernão Dias,845.5,MG-BR381,-45.86149,-22.204246
Fernão Dias.MG-BR381.845.6,Fernão Dias,845.6,MG-BR381,-45.86206446,-22.20489224
Fernão Dias.MG-BR381.845.7,Fernão Dias,845.7,MG-BR381,-45.86263927,-22.20553888
Fernão Dias.MG-BR381.845.8,Fernão Dias,845.8,MG-BR381,-45.86321373,-22.20618512
Fernão Dias.MG-BR381.845.9,Fernão Dias,845.9,MG-BR381,-45.86378854,-22.20683176
Fernão Dias.MG-BR381.846.0,Fernão Dias,846,MG-BR381,-45.864363,-22.207478
Fernão Dias.MG-BR381.846.1,Fernão Dias,846.1,MG-BR381,-45.86484598,-22.20824381
Fernão Dias.MG-BR381.846.2,Fernão Dias,846.2,MG-BR381,-45.86532926,-22.20901009
Fernão Dias.MG-BR381.846.3,Fernão Dias,846.3,MG-BR381,-45.86581224,-22.20977591
Fernão Dias.MG-BR381.846.4,Fernão Dias,846.4,MG-BR381,-45.86629552,-22.21054219
Fernão Dias.MG-BR381.846.5,Fernão Dias,846.5,MG-BR381,-45.86658537,-22.21100177
Fernão Dias.MG-BR381.846.6,Fernão Dias,846.6,MG-BR381,-45.86726148,-22.21207381
Fernão Dias.MG-BR381.846.7,Fernão Dias,846.7,MG-BR381,-45.86774476,-22.21284009
Fernão Dias.MG-BR381.846.8,Fernão Dias,846.8,MG-BR381,-45.86822774,-22.21360591
Fernão Dias.MG-BR381.846.9,Fernão Dias,846.9,MG-BR381,-45.86871087,-22.21437196
Fernão Dias.MG-BR381.847.0,Fernão Dias,847,MG-BR381,-45.869194,-22.215138
Fernão Dias.MG-BR381.847.1,Fernão Dias,847.1,MG-BR381,-45.8696137,-22.21580364
Fernão Dias.MG-BR381.847.2,Fernão Dias,847.2,MG-BR381,-45.87003365,-22.21646968
Fernão Dias.MG-BR381.847.3,Fernão Dias,847.3,MG-BR381,-45.87045335,-22.21713532
Fernão Dias.MG-BR381.847.4,Fernão Dias,847.4,MG-BR381,-45.8708733,-22.21780136
Fernão Dias.MG-BR381.847.5,Fernão Dias,847.5,MG-BR381,-45.87112517,-22.21820083
Fernão Dias.MG-BR381.847.6,Fernão Dias,847.6,MG-BR381,-45.8717127,-22.21913264
Fernão Dias.MG-BR381.847.7,Fernão Dias,847.7,MG-BR381,-45.87213265,-22.21979868
Fernão Dias.MG-BR381.847.8,Fernão Dias,847.8,MG-BR381,-45.87255235,-22.22046432
Fernão Dias.MG-BR381.847.9,Fernão Dias,847.9,MG-BR381,-45.8729723,-22.22113036
Fernão Dias.MG-BR381.848.0,Fernão Dias,848,MG-BR381,-45.873392,-22.221796
