ConcessionariaRodoviakm,Concessionaria,kmmt,Rodovia,Longitude,Latitude
Fernão Dias.MG-BR381.490.3,Fernão Dias,490.3,MG-BR381,-44.1453753,-19.95675608
Fernão Dias.MG-BR381.488.3,Fernão Dias,488.3,MG-BR381,-44.12696239,-19.95683711
Fernão Dias.MG-BR381.490.4,Fernão Dias,490.4,MG-BR381,-44.14606248,-19.95689347
Fernão Dias.MG-BR381.484.7,Fernão Dias,484.7,MG-BR381,-44.0936387,-19.9569323
Fernão Dias.MG-BR381.488.2,Fernão Dias,488.2,MG-BR381,-44.12603111,-19.95693939
Fernão Dias.MG-BR381.487.9,Fernão Dias,487.9,MG-BR381,-44.12330905,-19.95696869
Fernão Dias.MG-BR381.488.1,Fernão Dias,488.1,MG-BR381,-44.12509956,-19.95704169
Fernão Dias.MG-BR381.477.1,Fernão Dias,477.1,MG-BR381,-44.02840055,-19.95704902
Fernão Dias.MG-BR381.488.0,Fernão Dias,488,MG-BR381,-44.12373865,-19.95705637
Fernão Dias.MG-BR381.490.5,Fernão Dias,490.5,MG-BR381,-44.147093,-19.9570995
Fernão Dias.MG-BR381.490.6,Fernão Dias,490.6,MG-BR381,-44.14778857,-19.95723857
Fernão Dias.MG-BR381.484.6,Fernão Dias,484.6,MG-BR381,-44.09275125,-19.9573385
Fernão Dias.MG-BR381.490.7,Fernão Dias,490.7,MG-BR381,-44.1488107,-19.95744292
Fernão Dias.MG-BR381.477.2,Fernão Dias,477.2,MG-BR381,-44.02926711,-19.95745005
Fernão Dias.MG-BR381.484.5,Fernão Dias,484.5,MG-BR381,-44.0923405,-19.9575265
Fernão Dias.MG-BR381.490.8,Fernão Dias,490.8,MG-BR381,-44.14924,-19.95752875
Fernão Dias.MG-BR381.490.9,Fernão Dias,490.9,MG-BR381,-44.15015887,-19.95771246
Fernão Dias.MG-BR381.483.0,Fernão Dias,483,MG-BR381,-44.07904556,-19.95780449
Fernão Dias.MG-BR381.477.3,Fernão Dias,477.3,MG-BR381,-44.03013339,-19.95785095
Fernão Dias.MG-BR381.483.1,Fernão Dias,483.1,MG-BR381,-44.08011502,-19.95786042
Fernão Dias.MG-BR381.491.0,Fernão Dias,491,MG-BR381,-44.1509577,-19.95787217
Fernão Dias.MG-BR381.482.9,Fernão Dias,482.9,MG-BR381,-44.07849532,-19.95787708
Fernão Dias.MG-BR381.482.8,Fernão Dias,482.8,MG-BR381,-44.07766969,-19.95798601
Fernão Dias.MG-BR381.483.2,Fernão Dias,483.2,MG-BR381,-44.08081315,-19.95799344
Fernão Dias.MG-BR381.477.4,Fernão Dias,477.4,MG-BR381,-44.03057553,-19.95805556
Fernão Dias.MG-BR381.484.4,Fernão Dias,484.4,MG-BR381,-44.091108,-19.95809063
Fernão Dias.MG-BR381.482.7,Fernão Dias,482.7,MG-BR381,-44.07675281,-19.95810699
Fernão Dias.MG-BR381.482.6,Fernão Dias,482.6,MG-BR381,-44.07583566,-19.95822799
Fernão Dias.MG-BR381.483.3,Fernão Dias,483.3,MG-BR381,-44.08212229,-19.95824288
Fernão Dias.MG-BR381.484.3,Fernão Dias,484.3,MG-BR381,-44.09068898,-19.95828242
