concessionaria;mes_ano;sentido;praca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
RODOVIA DO AÇO;01-01-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;44199;1;44199
RODOVIA DO AÇO;01-01-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35814;1;35814
RODOVIA DO AÇO;01-02-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32618;1;32618
RODOVIA DO AÇO;01-02-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32380;1;32380
RODOVIA DO AÇO;01-03-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31331;1;31331
RODOVIA DO AÇO;01-03-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32760;1;32760
RODOVIA DO AÇO;01-04-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28552;1;28552
RODOVIA DO AÇO;01-04-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28549;1;28549
RODOVIA DO AÇO;01-05-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;29202;1;29202
RODOVIA DO AÇO;01-05-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31433;1;31433
RODOVIA DO AÇO;01-06-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;1138;1;1138
RODOVIA DO AÇO;01-06-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31654;1;31654
RODOVIA DO AÇO;01-07-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;38456;1;38456
RODOVIA DO AÇO;01-07-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37962;1;37962
RODOVIA DO AÇO;01-08-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30936;1;30936
RODOVIA DO AÇO;01-08-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31544;1;31544
RODOVIA DO AÇO;01-09-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31554;1;31554
RODOVIA DO AÇO;01-09-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31658;1;31658
RODOVIA DO AÇO;01-10-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31382;1;31382
RODOVIA DO AÇO;01-10-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31870;1;31870
RODOVIA DO AÇO;01-11-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31918;1;31918
RODOVIA DO AÇO;01-11-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32495;1;32495
RODOVIA DO AÇO;01-12-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35893;1;35893
RODOVIA DO AÇO;01-12-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;49902;1;49902
RODOVIA DO AÇO;01-01-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5665;2;11330
RODOVIA DO AÇO;01-01-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5523;2;11046
RODOVIA DO AÇO;01-02-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5244;2;10488
RODOVIA DO AÇO;01-02-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5356;2;10712
RODOVIA DO AÇO;01-03-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5937;2;11874
RODOVIA DO AÇO;01-03-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6026;2;12052
RODOVIA DO AÇO;01-04-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5824;2;11648
RODOVIA DO AÇO;01-04-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5919;2;11838
RODOVIA DO AÇO;01-05-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5655;2;11310
RODOVIA DO AÇO;01-05-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5834;2;11668
RODOVIA DO AÇO;01-06-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;101;2;202
RODOVIA DO AÇO;01-06-2013;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5492;2;10984
RODOVIA DO AÇO;01-07-2013;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5447;2;10894
