concessionaria;mes_ano;sentido;praca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;50718;1;50718
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;39446;1;39446
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28433;1;28433
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;29476;1;29476
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34129;1;34129
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33550;1;33550
RODOVIA DO AÇO;01-04-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34056;1;34056
RODOVIA DO AÇO;01-04-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35008;1;35008
RODOVIA DO AÇO;01-05-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30389;1;30389
RODOVIA DO AÇO;01-05-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31242;1;31242
RODOVIA DO AÇO;01-06-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30210;1;30210
RODOVIA DO AÇO;01-06-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33801;1;33801
RODOVIA DO AÇO;01-07-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33349;1;33349
RODOVIA DO AÇO;01-07-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31326;1;31326
RODOVIA DO AÇO;01-08-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30311;1;30311
RODOVIA DO AÇO;01-08-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30448;1;30448
RODOVIA DO AÇO;01-09-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32177;1;32177
RODOVIA DO AÇO;01-09-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32566;1;32566
RODOVIA DO AÇO;01-10-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32770;1;32770
RODOVIA DO AÇO;01-10-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33393;1;33393
RODOVIA DO AÇO;01-11-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31914;1;31914
RODOVIA DO AÇO;01-11-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32285;1;32285
RODOVIA DO AÇO;01-12-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;38445;1;38445
RODOVIA DO AÇO;01-12-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;53201;1;53201
RODOVIA DO AÇO;01-01-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5654;2;11308
RODOVIA DO AÇO;01-01-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5603;2;11206
RODOVIA DO AÇO;01-02-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;4981;2;9962
RODOVIA DO AÇO;01-02-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;4963;2;9926
RODOVIA DO AÇO;01-03-2014;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5168;2;10336
RODOVIA DO AÇO;01-03-2014;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5130;2;10260
