concessionaria;mes_ano;sentido;praca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
RODOVIA DO AÇO;01-01-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;49132;1;49132
RODOVIA DO AÇO;01-01-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;39811;1;39811
RODOVIA DO AÇO;01-02-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33299;1;33299
RODOVIA DO AÇO;01-02-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;26982;1;26982
RODOVIA DO AÇO;01-03-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;38217;1;38217
RODOVIA DO AÇO;01-03-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30967;1;30967
RODOVIA DO AÇO;01-04-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37429;1;37429
RODOVIA DO AÇO;01-04-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30329;1;30329
RODOVIA DO AÇO;01-05-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34319;1;34319
RODOVIA DO AÇO;01-05-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27809;1;27809
RODOVIA DO AÇO;01-06-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35709;1;35709
RODOVIA DO AÇO;01-06-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28935;1;28935
RODOVIA DO AÇO;01-07-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;41597;1;41597
RODOVIA DO AÇO;01-07-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33706;1;33706
RODOVIA DO AÇO;01-08-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34804;1;34804
RODOVIA DO AÇO;01-08-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28201;1;28201
RODOVIA DO AÇO;01-09-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35695;1;35695
RODOVIA DO AÇO;01-09-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28924;1;28924
RODOVIA DO AÇO;01-10-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34026;1;34026
RODOVIA DO AÇO;01-10-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27571;1;27571
RODOVIA DO AÇO;01-11-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33861;1;33861
RODOVIA DO AÇO;01-11-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27437;1;27437
RODOVIA DO AÇO;01-12-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;46378;1;46378
RODOVIA DO AÇO;01-12-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37580;1;37580
RODOVIA DO AÇO;01-01-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;7209;2;14418
RODOVIA DO AÇO;01-01-2011;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;7029;2;14058
RODOVIA DO AÇO;01-02-2011;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5869;2;11738
