concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"CONCEBRA";"01/08/2015";"Crescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 6 eixos ";"Comercial";20160.00;6.00;120960.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 6 eixos ";"Comercial";22587.00;6.00;135522.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Moto";"Moto";615.00;0.50;307.50
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Moto";"Moto";596.00;0.50;298.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 7 eixos ";"Comercial";3517.00;7.00;24619.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 7 eixos ";"Comercial";6103.00;7.00;42721.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 8 eixos ";"Comercial";147.00;8.00;1176.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 8 eixos ";"Comercial";448.00;8.00;3584.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 9 eixos ";"Comercial";688.00;9.00;6192.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 9 eixos ";"Comercial";1577.00;9.00;14193.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";6.00;10.00;60.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 05 BR-153/MG km: 127,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";27.00;10.00;270.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Passeio 2 eixos ";"Passeio";38729.00;1.00;38729.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Passeio 2 eixos ";"Passeio";38620.00;1.00;38620.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 2 eixos ";"Comercial";6750.00;2.00;13500.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 2 eixos ";"Comercial";6553.00;2.00;13106.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Passeio 3 eixos ";"Passeio";467.00;1.50;700.50
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Passeio 3 eixos ";"Passeio";472.00;1.50;708.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 3 eixos ";"Comercial";9024.00;3.00;27072.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 3 eixos ";"Comercial";10218.00;3.00;30654.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Passeio 4 eixos ";"Passeio";67.00;2.00;134.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Passeio 4 eixos ";"Passeio";69.00;2.00;138.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 4 eixos ";"Comercial";3967.00;4.00;15868.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 4 eixos ";"Comercial";5496.00;4.00;21984.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 5 eixos ";"Comercial";3578.00;5.00;17890.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 5 eixos ";"Comercial";4997.00;5.00;24985.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 6 eixos ";"Comercial";10235.00;6.00;61410.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 6 eixos ";"Comercial";16135.00;6.00;96810.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Moto";"Moto";1046.00;0.50;523.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Moto";"Moto";1053.00;0.50;526.50
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 7 eixos ";"Comercial";1677.00;7.00;11739.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 7 eixos ";"Comercial";2796.00;7.00;19572.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 8 eixos ";"Comercial";253.00;8.00;2024.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 8 eixos ";"Comercial";402.00;8.00;3216.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 9 eixos ";"Comercial";537.00;9.00;4833.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 9 eixos ";"Comercial";933.00;9.00;8397.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";7.00;10.00;70.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 06 BR-153/MG km: 227,90 Sentido 1: Sul  Sentido 2: Norte";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";39.00;10.00;390.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";136465.00;1.00;136465.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";134571.00;1.00;134571.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";16702.00;2.00;33404.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";20961.00;2.00;41922.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 3 eixos ";"Passeio";642.00;1.50;963.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 3 eixos ";"Passeio";619.00;1.50;928.50
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 3 eixos ";"Comercial";19236.00;3.00;57708.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 3 eixos ";"Comercial";17009.00;3.00;51027.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 4 eixos ";"Passeio";48.00;2.00;96.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 4 eixos ";"Passeio";73.00;2.00;146.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 4 eixos ";"Comercial";7101.00;4.00;28404.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 4 eixos ";"Comercial";8879.00;4.00;35516.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 5 eixos ";"Comercial";5573.00;5.00;27865.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 5 eixos ";"Comercial";5601.00;5.00;28005.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 6 eixos ";"Comercial";10518.00;6.00;63108.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 6 eixos ";"Comercial";11522.00;6.00;69132.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Moto";"Moto";6074.00;0.50;3037.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Moto";"Moto";6058.00;0.50;3029.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 7 eixos ";"Comercial";1704.00;7.00;11928.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 7 eixos ";"Comercial";1947.00;7.00;13629.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 8 eixos ";"Comercial";244.00;8.00;1952.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 8 eixos ";"Comercial";158.00;8.00;1264.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 9 eixos ";"Comercial";615.00;9.00;5535.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 9 eixos ";"Comercial";346.00;9.00;3114.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";9.00;10.00;90.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 07 BR-262/MG km: 389,40 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";4.00;10.00;40.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";54192.00;1.00;54192.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";53612.00;1.00;53612.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";8230.00;2.00;16460.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";9829.00;2.00;19658.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 3 eixos ";"Passeio";460.00;1.50;690.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 3 eixos ";"Passeio";565.00;1.50;847.50
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 3 eixos ";"Comercial";11507.00;3.00;34521.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 3 eixos ";"Comercial";12330.00;3.00;36990.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 4 eixos ";"Passeio";37.00;2.00;74.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 4 eixos ";"Passeio";72.00;2.00;144.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 4 eixos ";"Comercial";5695.00;4.00;22780.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 4 eixos ";"Comercial";8956.00;4.00;35824.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 5 eixos ";"Comercial";3825.00;5.00;19125.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 5 eixos ";"Comercial";4212.00;5.00;21060.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 6 eixos ";"Comercial";11453.00;6.00;68718.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 6 eixos ";"Comercial";8790.00;6.00;52740.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Moto";"Moto";1045.00;0.50;522.50
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Moto";"Moto";1060.00;0.50;530.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 7 eixos ";"Comercial";2246.00;7.00;15722.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 7 eixos ";"Comercial";2201.00;7.00;15407.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 8 eixos ";"Comercial";178.00;8.00;1424.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 8 eixos ";"Comercial";176.00;8.00;1408.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 9 eixos ";"Comercial";663.00;9.00;5967.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 9 eixos ";"Comercial";534.00;9.00;4806.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";4.00;10.00;40.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 08 BR-262/MG km: 512,85 Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";6.00;10.00;60.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";34721.00;1.00;34721.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";34759.00;1.00;34759.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";5439.00;2.00;10878.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";6896.00;2.00;13792.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 3 eixos ";"Passeio";308.00;1.50;462.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 3 eixos ";"Passeio";324.00;1.50;486.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 3 eixos ";"Comercial";10412.00;3.00;31236.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 3 eixos ";"Comercial";10764.00;3.00;32292.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 4 eixos ";"Passeio";28.00;2.00;56.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Passeio 4 eixos ";"Passeio";34.00;2.00;68.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 4 eixos ";"Comercial";5808.00;4.00;23232.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 4 eixos ";"Comercial";8497.00;4.00;33988.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 5 eixos ";"Comercial";4306.00;5.00;21530.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 5 eixos ";"Comercial";5132.00;5.00;25660.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 6 eixos ";"Comercial";11812.00;6.00;70872.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 6 eixos ";"Comercial";11702.00;6.00;70212.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Moto";"Moto";526.00;0.50;263.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Moto";"Moto";502.00;0.50;251.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 7 eixos ";"Comercial";2811.00;7.00;19677.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 7 eixos ";"Comercial";3498.00;7.00;24486.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 8 eixos ";"Comercial";221.00;8.00;1768.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 8 eixos ";"Comercial";204.00;8.00;1632.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 9 eixos ";"Comercial";879.00;9.00;7911.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 9 eixos ";"Comercial";677.00;9.00;6093.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial 10 eixos ";"Comercial";0.00;10.00;0.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";8.00;10.00;80.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 09 BR-262/MG km: 600,8  Sentido 1: Oeste Sentido 2: Leste";"N/I";"Veículo Comercial Acima 10 eixos";"Comercial";8.00;10.00;80.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 10 BR-262/MG km: 736,90 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";27097.00;1.00;27097.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 10 BR-262/MG km: 736,90 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Passeio 2 eixos ";"Passeio";27344.00;1.00;27344.00
"CONCEBRA";"01/08/2015";"Crescente";"Praça 10 BR-262/MG km: 736,90 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";4416.00;2.00;8832.00
"CONCEBRA";"01/08/2015";"Decrescente";"Praça 10 BR-262/MG km: 736,90 Sentido 1: Oeste  Sentido 2: Leste";"N/I";"Veículo Comercial 2 eixos ";"Comercial";4822.00;2.00;9644.00
