concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";182.00;2.00;364.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 5";"Passeio";177.00;2.00;354.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";10712.00;4.00;42848.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 6";"Comercial";10574.00;4.00;42296.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";26153.00;5.00;130765.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 7";"Comercial";26755.00;5.00;133775.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";33276.00;6.00;199656.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 8";"Comercial";33250.00;6.00;199500.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";11261.00;0.50;5630.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Categoria 9";"Moto";10214.00;0.50;5107.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";10321.00;6.00;61926.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 02 BR-381/SP km 7,30";"N/I";"Outros";"Comercial";9682.00;6.00;58092.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";286308.00;1.00;286308.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 1";"Passeio";220784.00;1.00;220784.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 03 BR-381/MG km 902,63";"N/I";"Categoria 2";"Comercial";22442.00;2.00;44884.00
