concessionaria;mes_ano;sentido;praca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
RODOVIA DO AÇO;01-01-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;34993;1;34993
RODOVIA DO AÇO;01-01-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28354;1;28354
RODOVIA DO AÇO;01-02-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33472;1;33472
RODOVIA DO AÇO;01-02-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27122;1;27122
RODOVIA DO AÇO;01-03-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30705;1;30705
RODOVIA DO AÇO;01-03-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;24879;1;24879
RODOVIA DO AÇO;01-04-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;33996;1;33996
RODOVIA DO AÇO;01-04-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;27546;1;27546
RODOVIA DO AÇO;01-05-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;31124;1;31124
RODOVIA DO AÇO;01-05-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;25220;1;25220
RODOVIA DO AÇO;01-06-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32803;1;32803
RODOVIA DO AÇO;01-06-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;26579;1;26579
RODOVIA DO AÇO;01-07-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;40426;1;40426
RODOVIA DO AÇO;01-07-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32757;1;32757
RODOVIA DO AÇO;01-08-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32722;1;32722
RODOVIA DO AÇO;01-08-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;26515;1;26515
RODOVIA DO AÇO;01-09-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;37280;1;37280
RODOVIA DO AÇO;01-09-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;30208;1;30208
RODOVIA DO AÇO;01-10-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35233;1;35233
RODOVIA DO AÇO;01-10-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;28549;1;28549
RODOVIA DO AÇO;01-11-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;32969;1;32969
RODOVIA DO AÇO;01-11-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;26714;1;26714
RODOVIA DO AÇO;01-12-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;47847;1;47847
RODOVIA DO AÇO;01-12-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 1;Passeio;35261;1;35261
RODOVIA DO AÇO;01-01-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;3353;2;6706
RODOVIA DO AÇO;01-01-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;3269;2;6538
RODOVIA DO AÇO;01-02-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;4075;2;8150
RODOVIA DO AÇO;01-02-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;3973;2;7946
RODOVIA DO AÇO;01-03-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5841;2;11682
RODOVIA DO AÇO;01-03-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5695;2;11390
RODOVIA DO AÇO;01-04-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5520;2;11040
RODOVIA DO AÇO;01-04-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5381;2;10762
RODOVIA DO AÇO;01-05-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5683;2;11366
RODOVIA DO AÇO;01-05-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5541;2;11082
RODOVIA DO AÇO;01-06-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5409;2;10818
RODOVIA DO AÇO;01-06-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5273;2;10546
RODOVIA DO AÇO;01-07-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5666;2;11332
RODOVIA DO AÇO;01-07-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5523;2;11046
RODOVIA DO AÇO;01-08-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5911;2;11822
RODOVIA DO AÇO;01-08-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5762;2;11524
RODOVIA DO AÇO;01-09-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5421;2;10842
RODOVIA DO AÇO;01-09-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5285;2;10570
RODOVIA DO AÇO;01-10-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5954;2;11908
RODOVIA DO AÇO;01-10-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5805;2;11610
RODOVIA DO AÇO;01-11-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5388;2;10776
RODOVIA DO AÇO;01-11-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5253;2;10506
RODOVIA DO AÇO;01-12-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;5817;2;11634
RODOVIA DO AÇO;01-12-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 2;Comercial;6004;2;12008
RODOVIA DO AÇO;01-01-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;148;1,5;222
RODOVIA DO AÇO;01-01-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;210;1,5;315
RODOVIA DO AÇO;01-02-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;162;1,5;243
RODOVIA DO AÇO;01-02-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;228;1,5;342
RODOVIA DO AÇO;01-03-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;144;1,5;216
RODOVIA DO AÇO;01-03-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;203;1,5;304,5
RODOVIA DO AÇO;01-04-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;137;1,5;205,5
RODOVIA DO AÇO;01-04-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;193;1,5;289,5
RODOVIA DO AÇO;01-05-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;128;1,5;192
RODOVIA DO AÇO;01-05-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;182;1,5;273
RODOVIA DO AÇO;01-06-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;147;1,5;220,5
RODOVIA DO AÇO;01-06-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;207;1,5;310,5
RODOVIA DO AÇO;01-07-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;144;1,5;216
RODOVIA DO AÇO;01-07-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;204;1,5;306
RODOVIA DO AÇO;01-08-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;127;1,5;190,5
RODOVIA DO AÇO;01-08-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;180;1,5;270
RODOVIA DO AÇO;01-09-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;145;1,5;217,5
RODOVIA DO AÇO;01-09-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;205;1,5;307,5
RODOVIA DO AÇO;01-10-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;110;1,5;165
RODOVIA DO AÇO;01-10-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;155;1,5;232,5
RODOVIA DO AÇO;01-11-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;113;1,5;169,5
RODOVIA DO AÇO;01-11-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;160;1,5;240
RODOVIA DO AÇO;01-12-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;197;1,5;295,5
RODOVIA DO AÇO;01-12-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 3;Passeio;91;1,5;136,5
RODOVIA DO AÇO;01-01-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;4154;3;12462
RODOVIA DO AÇO;01-01-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;3751;3;11253
RODOVIA DO AÇO;01-02-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;3742;3;11226
RODOVIA DO AÇO;01-02-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;3379;3;10137
RODOVIA DO AÇO;01-03-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12112;3;36336
RODOVIA DO AÇO;01-03-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10936;3;32808
RODOVIA DO AÇO;01-04-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11667;3;35001
RODOVIA DO AÇO;01-04-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10535;3;31605
RODOVIA DO AÇO;01-05-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12508;3;37524
RODOVIA DO AÇO;01-05-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11294;3;33882
RODOVIA DO AÇO;01-06-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11814;3;35442
RODOVIA DO AÇO;01-06-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;10668;3;32004
RODOVIA DO AÇO;01-07-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12535;3;37605
RODOVIA DO AÇO;01-07-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11318;3;33954
RODOVIA DO AÇO;01-08-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13726;3;41178
RODOVIA DO AÇO;01-08-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12394;3;37182
RODOVIA DO AÇO;01-09-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13450;3;40350
RODOVIA DO AÇO;01-09-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12145;3;36435
RODOVIA DO AÇO;01-10-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13780;3;41340
RODOVIA DO AÇO;01-10-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12442;3;37326
RODOVIA DO AÇO;01-11-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12671;3;38013
RODOVIA DO AÇO;01-11-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;11441;3;34323
RODOVIA DO AÇO;01-12-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;12672;3;38016
RODOVIA DO AÇO;01-12-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 4;Comercial;13511;3;40533
RODOVIA DO AÇO;01-01-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;6;2;12
RODOVIA DO AÇO;01-01-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;14;2;28
RODOVIA DO AÇO;01-02-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;8;2;16
RODOVIA DO AÇO;01-02-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;17;2;34
RODOVIA DO AÇO;01-03-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;6;2;12
RODOVIA DO AÇO;01-03-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;14;2;28
RODOVIA DO AÇO;01-04-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;11;2;22
RODOVIA DO AÇO;01-04-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;25;2;50
RODOVIA DO AÇO;01-05-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;9;2;18
RODOVIA DO AÇO;01-05-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;19;2;38
RODOVIA DO AÇO;01-06-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;10;2;20
RODOVIA DO AÇO;01-06-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;23;2;46
RODOVIA DO AÇO;01-07-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;12;2;24
RODOVIA DO AÇO;01-07-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;27;2;54
RODOVIA DO AÇO;01-08-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;13;2;26
RODOVIA DO AÇO;01-08-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;27;2;54
RODOVIA DO AÇO;01-09-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;14;2;28
RODOVIA DO AÇO;01-09-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;31;2;62
RODOVIA DO AÇO;01-10-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;9;2;18
RODOVIA DO AÇO;01-10-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;19;2;38
RODOVIA DO AÇO;01-11-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;8;2;16
RODOVIA DO AÇO;01-11-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;18;2;36
RODOVIA DO AÇO;01-12-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;13;2;26
RODOVIA DO AÇO;01-12-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;11;2;22
RODOVIA DO AÇO;01-01-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;729;4;2916
RODOVIA DO AÇO;01-01-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;512;4;2048
RODOVIA DO AÇO;01-02-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;186;4;744
RODOVIA DO AÇO;01-02-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;131;4;524
RODOVIA DO AÇO;01-03-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2229;4;8916
RODOVIA DO AÇO;01-03-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1567;4;6268
RODOVIA DO AÇO;01-04-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2120;4;8480
RODOVIA DO AÇO;01-04-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1490;4;5960
RODOVIA DO AÇO;01-05-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2367;4;9468
RODOVIA DO AÇO;01-05-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1663;4;6652
RODOVIA DO AÇO;01-06-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2608;4;10432
RODOVIA DO AÇO;01-06-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1833;4;7332
RODOVIA DO AÇO;01-07-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2895;4;11580
RODOVIA DO AÇO;01-07-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2034;4;8136
RODOVIA DO AÇO;01-08-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;3196;4;12784
RODOVIA DO AÇO;01-08-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2246;4;8984
RODOVIA DO AÇO;01-09-2012;Decrescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2848;4;11392
RODOVIA DO AÇO;01-09-2012;Crescente;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2001;4;8004
